run,weighted_f1,macro_f1,mean_concept_f1,coverage_at_0p05,probe_weighted_f1,probe_subset_acc,min_class_f1,min_concept_f1,n_classes_above_0p90,n_concepts_above_0p90
ens_BS_s42,0.9091075713694066,0.8631170277337893,0.9056178760980895,0.9762419006479481,0.8774321923460182,0.7625570776255708,0.6829268292682927,0.7058823529411765,3,7
ens_top6_broad,0.8931156080999734,0.8507726020786593,0.8884803749928989,0.9568965517241379,0.8574876635364028,0.730593607305936,0.7567567567567568,0.6857142857142857,1,5
B_kitchen_s42,nan,nan,nan,nan,nan,nan,nan,nan,0,0
r1v14_kitchen_s42,0.8899116683638152,0.8378998347264369,0.9060777111469989,0.9654427645788337,0.8705447581998496,0.7420091324200914,0.7272727272727273,0.7692307692307693,1,6
r1v14_kitchen_s2024,0.8891557830656084,0.8535724382598423,0.8858929293814032,0.959051724137931,0.8531481987148577,0.7351598173515982,0.7105263157894737,0.7222222222222222,2,5
r0_baseline_s2024,0.884973148160255,0.8304876590194015,nan,0.9504310344827587,nan,nan,0.7272727272727273,nan,2,0
